Title,Link,PropertyType,Price,Location,State,Bedrooms,Bathrooms,Area,Down_Payment,Payment_Method,Price_Per_M
"Apartment for sale in Mustafa Kamel, Abu Qir Stree",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-than-el-montazah-abu-qir-mostafa-kamel-st-8522367,Apartment,4400000,Mostafa Kamel St.,Abu Qir,2,1,158,0,Cash,27848.1
Receive immediately a twin house villa in Alex West,https://www.bayut.eg/en/property/details-502944840.html,Villa,15500000,Alex West,Agami,4,3,225,7750000,Installments,68888.89
"An amazing apartment on Qasr Al-Qweiri Street in one of the cleanest streets of Hanoville, with a very spacious area and all utilities available.",https://www.bayut.eg/en/property/details-502992153.html,Apartment,1250000,Al Hanouvel,Agami,3,1,120,0,Cash,10416.67
An Early Delivery 2Bedrooms Apartment In Alex WestAn Early Delivery 2Bedrooms Apartment In Alex West,https://www.bayut.eg/en/property/details-502969223.html,Apartment,7800000,Alex West,Agami,2,2,183,0,Cash,42622.95
An Early Delivery 3Bedrooms Apartment In Alex West,https://www.bayut.eg/en/property/details-502968939.html,Apartment,6800000,Alex West,Agami,3,2,155,0,Cash,43870.97
Own your unit in Alex West with discounts of up to 20% off market price and installment plans up to 5 years,https://www.bayut.eg/en/property/details-502969706.html,Apartment,6030400,Alex West,Agami,3,2,153,87174,Installments,39414.38
Roof Lqqqqqqta enjoys many features in a very special location.,https://www.bayut.eg/en/property/details-502933450.html,Apartment,1900000,Al Hanouvel,Agami,4,2,450,0,Cash,4222.22
"Ground floor apartment with garden for sale, 153 sq m + 72 sq m garden, Alex West Compound (Plaza View)",https://www.bayut.eg/en/property/details-503013465.html,Apartment,10109880,Alex West,Agami,3,2,225,505464,Installments,44932.8
"Apartment for sale in Alexandria, Alex West Compound",https://www.bayut.eg/en/property/details-502968043.html,Villa,20081250,Alex West,Agami,3,2,116,156884,Installments,173114.22
Nearest delivery in Alex West View Open on Plaza,https://www.bayut.eg/en/property/details-502960135.html,Apartment,7882560,Alex West,Agami,3,2,153,270960,Installments,51520.0
"For sale, a 160 sqm super luxury apartment on Al-Arbaeen Street in the Bianchi area, Al-Baytach - Alexandria, Al-Agami",https://www.bayut.eg/en/property/details-502962366.html,Apartment,2700000,Al Bitash,Agami,3,2,160,0,Cash,16875.0
"Apartment for sale, 111 sq m, Alex West Compound (Down payment: EGP 265,000)",https://www.bayut.eg/en/property/details-503011252.html,Apartment,5300000,Alex West,Agami,2,1,111,265000,Installments,47747.75
Luxury villa in Alex West with all integrated services 452m,https://www.bayut.eg/en/property/details-502966340.html,Villa,45527625,Alex West,Agami,10,4,452,2276381,Installments,100724.83
"For sale, a 1000m duplex villa registered in the area of Al-Hanafiya Street in the villa area, Al-Baytash - Al-Ajami.",https://www.bayut.eg/en/property/details-502992564.html,Villa,10000000,Al Bitash,Agami,6,5,1000,0,Cash,10000.0
Receive your apartment immediately in Alex West with an open landscape view,https://www.bayut.eg/en/property/details-502944471.html,Apartment,8750000,Alex West,Agami,3,3,218,7750000,Installments,40137.61
"Apartment for sale in Alex West Compound, Unit 184 (Down payment: EGP 425,000 - Delivery 2026)",https://www.bayut.eg/en/property/details-502862693.html,Apartment,8549000,Alex West,Agami,3,3,184,425000,Installments,46461.96
Apartment for sale 165 meters in Al-Ajami Al-Baytash Bianchi ultra-lux finish,https://www.bayut.eg/en/property/details-502961780.html,Apartment,2100000,Al Bitash,Agami,3,2,165,0,Cash,12727.27
Apartment for sale - Alex West,https://www.bayut.eg/en/property/details-502989606.html,Apartment,6750000,Alex West,Agami,3,2,178,0,Cash,37921.35
Apartment for sale 153 m King Mariout (Alex West),https://www.bayut.eg/en/property/details-502917151.html,Apartment,6000000,Alex West,Agami,3,2,153,0,Cash,39215.69
Luxury villa for sale in Alex West with integrated services,https://www.bayut.eg/en/property/details-502988543.html,Villa,45527625,Alex West,Agami,10,4,452,2276381,Installments,100724.83
"A Distinctive Townhouse in Alex West, Alexandria – Invest or Live Now",https://www.bayut.eg/en/property/details-502917106.html,Townhouse,16650000,Alex West,Agami,4,4,200,832500,Installments,83250.0
"Apartment for sale, 155 sq m, Alex West Compound",https://www.bayut.eg/en/property/details-502917239.html,Apartment,8056900,Alex West,Agami,3,2,155,402845,Installments,51980.0
Apartment for sale 111 m King Maryout (Alex West),https://www.bayut.eg/en/property/details-502917354.html,Apartment,4635220,Alex West,Agami,2,1,111,188230,Installments,41758.74
An Early Delivery Twin Villa In Jazzin - Alex West,https://www.bayut.eg/en/property/details-502969339.html,Twin House,9908000,Alex West,Agami,4,4,340,0,Cash,29141.18
"Apartment for sale, 178 sq m, Alex West (Prime Location)",https://www.bayut.eg/en/property/details-502962557.html,Apartment,6650000,Alex West,Agami,3,3,178,5500000,Installments,37359.55
Luxurious standalone villa 452m in Alex West,https://www.bayut.eg/en/property/details-502988393.html,Villa,46373747,Alex West,Agami,10,4,452,2318687,Installments,102596.79
Own your dream villa in Alex West – a strategic location with integrated services,https://www.bayut.eg/en/property/details-502990991.html,Townhouse,16800000,Alex West,Agami,3,3,196,840000,Installments,85714.29
Cash Offer with 3-Year Installments in Alex West,https://www.bayut.eg/en/property/details-502290474.html,Apartment,7000000,Alex West,Agami,3,3,184,3000000,Installments,38043.48
Closest delivery & below market price Own your apartment with an open plaza view in Alex West,https://www.bayut.eg/en/property/details-502945844.html,Apartment,4300000,Alex West,Agami,2,2,133,0,Cash,32330.83
"Apartment for sale first line on the sea directly in Alexandria, 6 October, Armed Forces, Al-Ajami, Kilowat 21",https://www.bayut.eg/en/property/details-502952830.html,Apartment,1400000,Agami,Agami,2,1,110,0,Cash,12727.27
